,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead,dates
240,2020/1/22,ä¸_,CN,__º¬å¸,110000,__¹³_,110114,2,0,0,0,2020/1/22
241,2020/1/22,ä¸_,CN,__º¬å¸,110000,å¤§å__,110115,2,0,0,0,2020/1/22
242,2020/1/22,ä¸_,CN,å¤©æ´¥å¸,120000,,,4,0,0,0,2020/1/22
243,2020/1/22,ä¸_,CN,æ²³å__,130000,,,1,0,0,0,2020/1/22
244,2020/1/22,ä¸_,CN,æ²³å__,130000,_³ååº__,130100,1,0,0,0,2020/1/22
245,2020/1/22,ä¸_,CN,å±±è¥¿_,140000,,,1,0,0,0,2020/1/22
246,2020/1/22,ä¸_,CN,å±±è¥¿_,140000,å¤_å¸,140100,1,0,0,0,2020/1/22
247,2020/1/22,ä¸_,CN,è¾½å__,210000,,,2,0,0,0,2020/1/22
248,2020/1/22,ä¸_,CN,è¾½å__,210000,æ²__å¸,210100,1,0,0,0,2020/1/22
249,2020/1/22,ä¸_,CN,è¾½å__,210000,å¤§è_å¸,210200,1,0,0,0,2020/1/22
250,2020/1/22,ä¸_,CN,____,220000,,,1,0,0,0,2020/1/22
251,2020/1/22,ä¸_,CN,____,220000,_¿æ_å¸,220100,1,0,0,0,2020/1/22
252,2020/1/22,ä¸_,CN,é»__æ±__,230000,,,1,0,0,0,2020/1/22
253,2020/1/22,ä¸_,CN,é»__æ±__,230000,_¡ä¸¹æ±__,231000,1,0,0,0,2020/1/22
254,2020/1/22,ä¸_,CN,ä¸_µ·å¸,310000,,,16,22,0,0,2020/1/22
255,2020/1/22,ä¸_,CN,æ±___,320000,,,1,0,0,0,2020/1/22
256,2020/1/22,ä¸_,CN,æ±___,320000,___å¸,320500,1,0,0,0,2020/1/22
257,2020/1/22,ä¸_,CN,æµ___,330000,,,10,0,0,0,2020/1/22
258,2020/1/22,ä¸_,CN,æµ___,330000,__å¸,330100,1,0,0,0,2020/1/22
259,2020/1/22,ä¸_,CN,æµ___,330000,å®_³¢å¸,330200,3,0,0,0,2020/1/22
260,2020/1/22,ä¸_,CN,æµ___,330000,æ¸©å_å¸,330300,4,0,0,0,2020/1/22
261,2020/1/22,ä¸_,CN,æµ___,330000,__±±å¸,330900,1,0,0,0,2020/1/22
262,2020/1/22,ä¸_,CN,æµ___,330000,_°å_å¸,331000,1,0,0,0,2020/1/22
263,2020/1/22,ä¸_,CN,å®_¾½_,340000,,,1,4,0,0,2020/1/22
264,2020/1/22,ä¸_,CN,å®_¾½_,340000,___å¸,340100,1,3,0,0,2020/1/22
265,2020/1/22,ä¸_,CN,å®_¾½_,340000,__å¸,341500,0,1,0,0,2020/1/22
266,2020/1/22,ä¸_,CN,ç¦_»º_,350000,,,1,0,0,0,2020/1/22
267,2020/1/22,ä¸_,CN,ç¦_»º_,350000,ç¦__å¸,350100,1,0,0,0,2020/1/22
268,2020/1/22,ä¸_,CN,æ±_¥¿_,360000,,,3,0,0,0,2020/1/22
269,2020/1/22,ä¸_,CN,æ±_¥¿_,360000,___å¸,360100,1,0,0,0,2020/1/22
270,2020/1/22,ä¸_,CN,æ±_¥¿_,360000,__¹¡å¸,360300,1,0,0,0,2020/1/22
271,2020/1/22,ä¸_,CN,æ±_¥¿_,360000,___å¸,361000,1,0,0,0,2020/1/22
272,2020/1/22,ä¸_,CN,å±±ä__,370000,,,6,0,0,0,2020/1/22
